    r2             l0-1234         l1-1234         l1-1235         l2-1235         l2-1246         l3-1246          final
2.48148E+000    3.67361E-003    3.85788E-004    1.55571E-003    1.78979E-004    1.00344E-003    1.08101E-004    3.85788E-004
2.50630E+000    3.85208E-003    4.13272E-004    1.61771E-003    1.85065E-004    1.04227E-003    9.26011E-005    4.13272E-004
2.53136E+000    4.03736E-003    4.42416E-004    1.68132E-003    1.91780E-004    1.08113E-003    7.80278E-005    4.42416E-004
2.55667E+000    4.22964E-003    4.73297E-004    1.74655E-003    1.99110E-004    1.12002E-003    6.99600E-005    4.73297E-004
2.58224E+000    4.42908E-003    5.05998E-004    1.81337E-003    2.07040E-004    1.15894E-003    6.84416E-005    5.05998E-004
2.60806E+000    4.63587E-003    5.40604E-004    1.88178E-003    2.15557E-004    1.19786E-003    6.84899E-005    5.40604E-004
2.63414E+000    4.85017E-003    5.77202E-004    1.95177E-003    2.24648E-004    1.23679E-003    7.75191E-005    5.77202E-004
2.66048E+000    5.07218E-003    6.15882E-004    2.02331E-003    2.34299E-004    1.27569E-003    8.91126E-005    6.15882E-004
2.68709E+000    5.30206E-003    6.56737E-004    2.09640E-003    2.44497E-004    1.31456E-003    1.05030E-004    6.56737E-004
2.71396E+000    5.54001E-003    6.99863E-004    2.17101E-003    2.55231E-004    1.35337E-003    1.23978E-004    6.99863E-004
2.74110E+000    5.78619E-003    7.45356E-004    2.24713E-003    2.66487E-004    1.39210E-003    1.43444E-004    7.45356E-004
2.76851E+000    6.04079E-003    7.93319E-004    2.32473E-003    2.78253E-004    1.43072E-003    1.62343E-004    7.93319E-004
2.79620E+000    6.30400E-003    8.43855E-004    2.40379E-003    2.90515E-004    1.46920E-003    1.80725E-004    8.43855E-004
2.82416E+000    6.57599E-003    8.97069E-004    2.48429E-003    3.03261E-004    1.50751E-003    1.98634E-004    3.03261E-004
2.85240E+000    6.85695E-003    9.53071E-004    2.56620E-003    3.16476E-004    1.54562E-003    2.16111E-004    3.16476E-004
2.88092E+000    7.14705E-003    1.01197E-003    2.64949E-003    3.30146E-004    1.58350E-003    2.33193E-004    3.30146E-004
2.90973E+000    7.44648E-003    1.07389E-003    2.73413E-003    3.44257E-004    1.62112E-003    2.49912E-004    3.44257E-004
2.93883E+000    7.75542E-003    1.13893E-003    2.82010E-003    3.58793E-004    1.65843E-003    2.66299E-004    3.58793E-004
2.96822E+000    8.07406E-003    1.20723E-003    2.90736E-003    3.73738E-004    1.69541E-003    2.82379E-004    3.73738E-004
2.99790E+000    8.40257E-003    1.27889E-003    2.99587E-003    3.89075E-004    1.73201E-003    2.98175E-004    3.89075E-004
3.02788E+000    8.74113E-003    1.35406E-003    3.08560E-003    4.04786E-004    1.76820E-003    3.13705E-004    4.04786E-004
3.05816E+000    9.08993E-003    1.43285E-003    3.17652E-003    4.20852E-004    1.80393E-003    3.28985E-004    4.20852E-004
3.08874E+000    9.44914E-003    1.51539E-003    3.26857E-003    4.37254E-004    1.83918E-003    3.44029E-004    4.37254E-004
3.11963E+000    9.81894E-003    1.60183E-003    3.36174E-003    4.53971E-004    1.87390E-003    3.58848E-004    4.53971E-004
3.15082E+000    1.01995E-002    1.69228E-003    3.45597E-003    4.70980E-004    1.90806E-003    3.73448E-004    4.70980E-004
3.18233E+000    1.05910E-002    1.78690E-003    3.55122E-003    4.88258E-004    1.94161E-003    3.87836E-004    4.88258E-004
3.21416E+000    1.09936E-002    1.88581E-003    3.64744E-003    5.05782E-004    1.97452E-003    4.02014E-004    5.05782E-004
3.24630E+000    1.14076E-002    1.98917E-003    3.74460E-003    5.23525E-004    2.00675E-003    4.15983E-004    5.23525E-004
3.27876E+000    1.18330E-002    2.09711E-003    3.84265E-003    5.41461E-004    2.03826E-003    4.29743E-004    5.41461E-004
3.31155E+000    1.22700E-002    2.20979E-003    3.94154E-003    5.59562E-004    2.06903E-003    4.43291E-004    5.59562E-004
3.34466E+000    1.27188E-002    2.32736E-003    4.04123E-003    5.77798E-004    2.09902E-003    4.56622E-004    5.77798E-004
3.37811E+000    1.31796E-002    2.44995E-003    4.14166E-003    5.96139E-004    2.12818E-003    4.69731E-004    5.96139E-004
3.41189E+000    1.36525E-002    2.57774E-003    4.24279E-003    6.14554E-004    2.15651E-003    4.82610E-004    6.14554E-004
3.44601E+000    1.41378E-002    2.71087E-003    4.34457E-003    6.33007E-004    2.18395E-003    4.95252E-004    6.33007E-004
3.48047E+000    1.46355E-002    2.84950E-003    4.44695E-003    6.51467E-004    2.21049E-003    5.07649E-004    6.51467E-004
3.51527E+000    1.51458E-002    2.99379E-003    4.54987E-003    6.69895E-004    2.23610E-003    5.19789E-004    6.69895E-004
3.55043E+000    1.56689E-002    3.14391E-003    4.65330E-003    6.88256E-004    2.26076E-003    5.31663E-004    6.88256E-004
3.58593E+000    1.62049E-002    3.30000E-003    4.75718E-003    7.06512E-004    2.28444E-003    5.43260E-004    7.06512E-004
3.62179E+000    1.67541E-002    3.46225E-003    4.86145E-003    7.24622E-004    2.30713E-003    5.54569E-004    7.24622E-004
3.65801E+000    1.73164E-002    3.63081E-003    4.96607E-003    7.42547E-004    2.32881E-003    5.65580E-004    7.42547E-004
3.69459E+000    1.78922E-002    3.80586E-003    5.07099E-003    7.60245E-004    2.34946E-003    5.76281E-004    7.60245E-004
3.73153E+000    1.84814E-002    3.98756E-003    5.17616E-003    7.77672E-004    2.36907E-003    5.86661E-004    7.77672E-004
3.76885E+000    1.90844E-002    4.17608E-003    5.28152E-003    7.94785E-004    2.38764E-003    5.96710E-004    7.94785E-004
3.80654E+000    1.97011E-002    4.37159E-003    5.38703E-003    8.11540E-004    2.40516E-003    6.06419E-004    8.11540E-004
3.84460E+000    2.03318E-002    4.57428E-003    5.49265E-003    8.27891E-004    2.42163E-003    6.15778E-004    8.27891E-004
3.88305E+000    2.09766E-002    4.78430E-003    5.59832E-003    8.43790E-004    2.43705E-003    6.24780E-004    8.43790E-004
3.92188E+000    2.16356E-002    5.00184E-003    5.70399E-003    8.59192E-004    2.45141E-003    6.33415E-004    8.59192E-004
3.96110E+000    2.23089E-002    5.22708E-003    5.80962E-003    8.74048E-004    2.46474E-003    6.41680E-004    8.74048E-004
4.00071E+000    2.29967E-002    5.46018E-003    5.91517E-003    8.88309E-004    2.47704E-003    6.49568E-004    8.88309E-004
4.04072E+000    2.36990E-002    5.70132E-003    6.02058E-003    9.01927E-004    2.48832E-003    6.57075E-004    9.01927E-004
4.08112E+000    2.44161E-002    5.95069E-003    6.12583E-003    9.14851E-004    2.49860E-003    6.64201E-004    9.14851E-004
4.12194E+000    2.51479E-002    6.20846E-003    6.23086E-003    9.27033E-004    2.50791E-003    6.70945E-004    9.27033E-004
4.16316E+000    2.58947E-002    6.47482E-003    6.33563E-003    9.38421E-004    2.51626E-003    6.77307E-004    9.38421E-004
4.20479E+000    2.66565E-002    6.74992E-003    6.44012E-003    9.48966E-004    2.52370E-003    6.83291E-004    9.48966E-004
4.24683E+000    2.74334E-002    7.03397E-003    6.54427E-003    9.58617E-004    2.53024E-003    6.88902E-004    9.58617E-004
